match_id,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10,first_5_won
2488245920,34,83,29,102,12,88,107,10,70,53,true
2488233366,102,63,34,100,60,1,38,48,93,33,false
2488231318,7,112,8,64,71,1,11,41,102,92,true
2488216163,74,102,9,29,14,105,86,65,55,111,true
2488215113,51,68,79,15,10,85,28,91,102,89,true
2488212657,54,32,41,44,102,10,28,29,7,91,true
2488210659,9,80,44,53,18,102,10,92,91,105,true
2488207141,48,68,102,60,3,86,45,32,15,53,true
2488207062,102,93,9,10,78,100,28,5,77,65,false
2488206487,53,102,70,20,38,16,105,10,42,1,true
2488203462,98,29,97,14,102,5,99,6,86,48,false
2488202505,38,55,3,58,102,14,17,90,82,39,true
2488202473,53,39,102,37,23,82,45,111,105,68,true
2488198274,49,1,105,88,80,36,35,69,62,102,false
2488197307,19,40,56,93,102,74,50,90,55,68,true
2488193938,39,110,66,102,10,18,101,23,50,29,true
2488192692,95,83,61,102,34,86,38,89,42,113,true
2488190736,76,113,87,45,98,28,15,35,102,2,true
2488188780,102,19,43,29,93,39,18,41,90,27,false
2488187159,102,111,67,63,2,98,70,34,83,64,false
2488187046,21,93,102,9,2,78,18,99,49,96,true
2488186719,47,38,19,85,3,104,44,74,102,7,true
2488186278,30,77,20,102,48,32,14,74,53,61,true
2488183186,102,53,30,48,20,7,10,5,81,14,true
2488182802,73,90,62,86,109,54,74,29,20,102,true
2488182257,7,14,17,107,63,11,87,104,102,21,false
2488181989,113,49,102,13,65,71,70,19,99,21,false
2488181635,59,110,46,38,68,43,102,13,55,80,false
2488181513,75,93,48,96,102,28,14,31,8,54,true
2488181038,102,113,25,9,18,85,71,107,78,52,false
2488180826,93,94,77,102,57,23,53,44,55,7,false
2488180786,6,55,104,81,49,32,111,42,61,102,false
2488179732,85,87,89,97,102,6,52,55,93,94,false
2488179617,1,6,71,54,8,62,36,102,16,12,false
2488179459,110,20,50,59,102,51,9,107,57,66,true
2488177872,14,102,81,94,107,21,8,98,7,2,false
2488176760,62,8,104,17,103,85,102,6,97,23,false
2488176540,98,32,36,51,93,28,102,11,95,87,false
2488175543,41,51,21,102,30,61,69,4,36,16,false
2488174276,42,107,8,15,90,102,44,14,52,53,true
2488173385,9,102,8,93,74,1,11,73,100,48,true
2488172654,43,104,44,82,74,88,55,71,11,102,false
2488172291,49,52,21,112,6,103,104,97,102,71,true
2488171748,70,18,3,102,63,16,8,12,27,98,false
2488171415,36,85,32,62,1,8,102,56,73,28,false
2488170971,37,6,67,4,41,25,62,42,58,102,false
2488170936,84,102,85,1,76,38,106,25,105,14,false
2488170721,6,70,106,62,14,102,41,38,104,84,false
2488170481,8,60,16,74,97,22,42,102,6,4,false
2488170202,21,81,102,109,27,29,56,106,76,9,true
2488169775,7,73,102,52,41,70,5,93,101,81,false
2488169553,2,42,86,102,57,77,6,47,4,12,true
2488169437,102,32,45,14,94,11,28,21,104,40,true
2488168977,1,11,73,102,26,74,2,36,32,56,false
2488168686,9,20,93,52,21,102,80,53,101,29,true
2488168630,79,5,34,42,39,102,20,30,48,53,false
2488168484,58,99,74,54,21,28,30,44,56,102,false
2488168423,102,94,78,53,74,17,93,95,25,14,true
2488166728,102,18,45,25,41,42,36,48,96,9,false
2488166255,39,91,63,90,10,44,102,33,53,80,false
2488166105,98,28,37,104,10,90,53,42,102,22,false
2488165734,83,42,30,75,6,18,21,20,102,84,true
2488165467,98,7,75,102,37,93,104,96,86,12,true
2488163804,104,52,6,93,53,10,5,102,29,25,true
2488162667,102,62,22,67,88,103,71,10,32,93,true
2488162623,84,29,65,33,43,42,12,94,102,55,true
2488162548,60,2,102,96,47,104,31,44,93,70,true
2488161097,9,68,35,62,102,67,73,44,36,31,true
2488161046,47,64,9,30,102,3,11,56,94,8,true
2488160717,104,7,93,6,54,102,98,110,21,81,false
2488160231,6,102,97,18,56,11,61,64,81,32,true
2488160190,52,53,16,94,48,102,28,76,42,27,false
2488160085,11,44,107,97,102,2,31,1,96,85,false
2488159446,70,6,95,43,54,82,32,102,46,104,true
2488159041,14,100,58,98,102,6,42,26,38,46,false
2488158871,74,2,105,22,9,52,102,8,87,14,false
2488158747,81,30,102,38,44,53,42,33,32,10,true
2488158558,102,53,72,83,95,30,105,20,59,19,false
2488158469,42,88,51,102,70,46,57,93,104,100,true
2488158328,9,26,35,84,42,61,81,38,75,102,false
2488158280,102,19,26,8,70,89,2,36,28,98,true
2488158204,70,21,100,22,76,14,102,71,48,29,true
2488158035,102,8,29,10,5,11,88,36,85,73,false
2488157990,104,10,7,102,105,36,44,8,59,9,true
2488157953,53,20,48,30,102,36,109,74,82,106,false
2488157709,97,62,44,98,93,38,73,4,102,107,true
2488157632,32,102,50,21,73,45,99,14,31,18,true
2488157364,102,104,22,5,55,4,2,14,19,65,true
2488156692,60,71,6,18,26,44,102,94,67,13,true
2488156405,98,5,14,71,102,26,42,29,12,2,true
2488156395,41,37,11,99,48,28,57,102,81,93,true
2488156256,70,15,32,49,102,5,44,104,4,21,true
2488156243,35,76,44,54,5,6,30,102,14,2,false
2488156190,25,67,35,56,42,14,102,4,18,2,false
2488155638,62,104,57,102,34,44,94,74,33,37,true
2488155445,11,102,43,62,112,8,99,52,2,106,true
2488155423,93,35,75,74,102,69,9,8,83,95,true
2488155230,48,100,86,54,71,36,35,42,33,102,true
2488155066,28,32,42,34,4,35,102,14,93,60,true
2488154988,2,26,53,32,104,111,55,102,109,22,false
2488154159,17,5,102,44,57,35,77,89,75,41,true
2488154038,102,4,5,41,22,44,42,85,14,104,true
2488153710,27,77,62,90,3,72,30,25,52,102,true
2488153663,11,44,27,18,102,21,60,62,30,2,true
2488153662,67,99,102,57,2,7,94,4,18,42,false
2488153388,70,74,93,14,22,1,36,86,104,102,false
2488152999,102,41,7,88,21,62,85,20,54,83,true
2488152996,14,44,63,16,46,102,2,10,84,22,false
2488152842,22,64,57,71,33,16,104,102,44,77,true
2488152755,102,59,42,4,111,6,29,33,1,61,true
2488152573,44,102,58,18,25,78,16,22,11,77,false
2488152465,11,20,44,102,36,57,21,58,85,29,true
2488152327,44,102,73,2,41,14,43,74,71,47,false
2488152186,9,52,68,53,76,29,102,31,2,99,true
2488151851,35,36,102,53,91,74,22,52,72,11,false
2488151696,12,13,4,69,85,49,102,56,65,1,true
2488151443,2,9,19,6,42,50,44,28,39,102,false
2488151356,102,99,36,94,86,8,98,48,76,56,false
2488151341,46,36,104,112,102,7,47,2,87,99,true
2488151237,74,96,86,9,44,64,26,41,102,36,false
2488151188,63,32,102,7,74,104,28,52,14,17,true
2488151129,32,102,63,78,93,14,53,26,8,112,true
2488151083,22,23,93,87,59,2,102,105,25,73,true
2488150863,53,18,56,57,36,104,32,102,99,14,true
2488150588,48,2,102,92,76,18,57,67,46,96,true
2488149846,35,41,42,96,62,102,63,91,17,53,true
2488149573,110,99,102,1,80,40,35,8,98,68,false
2488149521,102,68,46,77,90,7,16,22,10,12,true
2488149493,33,98,9,77,25,47,87,22,53,102,false
2488149342,54,102,32,17,19,23,67,7,47,57,false
2488149231,102,59,35,79,26,93,56,21,19,18,true
2488148960,12,106,102,93,90,18,32,44,103,72,false
2488148930,32,73,68,102,21,8,75,36,17,48,true
2488148679,56,30,73,15,102,47,113,28,93,16,false
2488148496,60,104,95,4,2,22,102,61,62,55,false
2488148457,72,23,5,6,54,52,102,98,19,18,true
2488148409,25,102,29,94,36,31,44,104,93,28,true
2488148368,27,64,35,102,34,26,23,95,11,40,true
2488147077,84,53,102,33,18,42,75,73,104,54,true
2488146538,12,42,74,62,99,102,18,2,5,49,false
2488146374,14,102,18,68,74,2,59,110,93,21,true
2488146021,52,9,62,112,48,102,67,43,16,1,false
2488145782,104,71,102,47,32,39,26,44,61,31,true
2488145701,107,8,36,18,6,93,11,102,44,2,true
2488145674,58,92,94,75,103,81,17,3,19,102,true
